title,url,source,year_month,topic,tier,summary,rationale
"The lethal trifecta for AI agents","https://simonwillison.net/2025/Jun/16/the-lethal-trifecta/","Simon Willison","2025-06","production-deployment","S","Names the three capabilities (private data + untrusted content + external comms) whose combination makes agents fundamentally exfiltratable. Architectural boundaries required — prompt-based guardrails cannot patch this.","The vocabulary the whole industry now uses for agent security."
"Anthropic's Multi-Agent Research System (link analysis)","https://simonwillison.net/2025/Jun/14/multi-agent-research-system/","Simon Willison","2025-06","harness/loops","A","Walks through Anthropic's orchestrator-subagent research architecture: 90.2% better performance via parallel subagents with separate contexts, at ~15x token cost.","Best secondary read on multi-agent design tradeoffs."
"Agent design is still hard","https://simonwillison.net/2025/Nov/23/agent-design-is-still-hard/","Simon Willison","2025-11","harness/loops","A","Argues agent abstraction libraries aren't yet mature enough to justify adoption; build custom. Testing/eval remains the hardest problem; 'reinforcement' (feeding context back at runtime) is the under-discussed core mechanic.","Honest state-of-the-art assessment from a practitioner who has shipped."
"Model Context Protocol has prompt injection security problems","https://simonwillison.net/2025/Apr/9/mcp-prompt-injection/","Simon Willison","2025-04","production-deployment","S","Documents fundamental MCP vulnerabilities: rug pulls (tool description changes), tool poisoning, with concrete data-exfiltration examples.","Canonical MCP security primer; required pairing with the MCP intro."
"Agent Skills (Willison analysis)","https://simonwillison.net/2025/Dec/19/agent-skills/","Simon Willison","2025-12","harness/loops","A","Analysis of Anthropic's Agent Skills open standard and its rapid adoption by OpenAI, plus how skills compose with MCP.","Captures an inflection point in agent tooling standards."
"Context plumbing","https://simonwillison.net/2025/Nov/29/context-plumbing/","Simon Willison","2025-11","harness/loops","A","Frames AI system architecture as the engineering challenge of routing the right context to agents at the right time from many sources.","Useful mental model for agent system design."
"Design Patterns for Securing LLM Agents against Prompt Injections","https://simonwillison.net/2025/Jun/13/prompt-injection-design-patterns/","Simon Willison","2025-06","foundational-concepts","A","Walks through IBM/Google/Microsoft research on six architectural patterns for constraining agent capabilities and isolating untrusted content.","The 'what to do about it' companion to the lethal-trifecta post."
"Agents (chapter excerpt)","https://huyenchip.com/2025/01/07/agents.html","Chip Huyen","2025-01","foundational-concepts","S","Comprehensive definition of AI agents through environment, tools, and planning brain, with frameworks for planning errors, execution inefficiencies, and evaluation.","Standard reference for what an agent is and how to evaluate one."
"Claude's agentic future and the current state of the frontier","https://www.interconnects.ai/p/claudes-agency","Nathan Lambert","2024-10","foundational-concepts","A","Analysis of Claude Computer Use as a paradigm shift; comparative look at how Anthropic, OpenAI, and Google differ in agent strategies.","Useful primary source on the start of the computer-use agent era."
"The AI Agent Spectrum","https://www.interconnects.ai/p/the-ai-agent-spectrum","Nathan Lambert","2024-12","foundational-concepts","A","Taxonomy from tool-using LLMs through orchestration to truly autonomous agents. Most 'agents' today are limited orchestration platforms.","Cleanest 'what counts as an agent' framing."
"Get Good at Agents","https://www.interconnects.ai/p/get-good-at-agents","Nathan Lambert","2025-01","adjacent-coding-or-computer-use","A","Argues agents like Claude Code fundamentally change knowledge work toward strategic delegation; 'software is becoming free, decision-making has never been so valuable.'","Shifts the conversation from capabilities to operator skill."
"An LLM-as-Judge Won't Save The Product — Fixing Your Process Will","https://eugeneyan.com/writing/eval-process/","Eugene Yan","2025-04","production-deployment","A","Argues product evals require the scientific method (observation, annotation, experimentation), not just automated judges. Eval-driven development with human oversight beats tooling sophistication.","Pairs with Hamel's evals work; sharpens the process-over-tools point."
"Product Evals in Three Simple Steps","https://eugeneyan.com/writing/product-evals/","Eugene Yan","2025-11","production-deployment","A","Compact three-step framework: build a 50-100-case labeled failure dataset, align LLM evaluators per criterion, run the eval harness on every change.","The most actionable eval-bootstrap recipe published."
"Building News Agents with MCP, Q, and tmux","https://eugeneyan.com/writing/news-agents/","Eugene Yan","2025-05","harness/loops","A","Walkthrough of a multi-agent system using Amazon Q CLI, MCP, and tmux where a main agent orchestrates three subagents over RSS feeds.","Implementation-grade multi-agent example with code."
"How to Work and Compound with AI","https://eugeneyan.com/writing/working-with-ai/","Eugene Yan","2026-05","adjacent-coding-or-computer-use","A","Frames the operator's craft as 'context as infra, taste as config, verification for autonomy, scale via delegation.'","The clearest operator playbook on the list."
"Evaluating the Effectiveness of LLM-Evaluators (LLM-as-Judge)","https://eugeneyan.com/writing/llm-evaluators/","Eugene Yan","2024-08","foundational-concepts","A","Survey-style synthesis of ~24 papers on direct vs pairwise scoring, position bias, hallucination in judges, when to prefer finetuned classifiers.","Literature companion to Hamel's practical LLM-judge guide."
"Hard Truths From the AI Trenches","https://jxnl.co/writing/2025/03/05/ai-from-the-trenches/","Jason Liu","2025-03","production-deployment","A","From watching companies burn millions: most AI failures are organizational and data issues, not model limits. Optimize for rapid experimentation and customer-paid outcomes.","Salty consultant truth-telling; very practical."
"Why Cognition Does Not Use Multi-Agent Systems (Liu interview)","https://jxnl.co/writing/2025/09/11/why-cognition-does-not-use-multi-agent-systems/","Jason Liu w/ Walden Yan","2025-09","harness/loops","A","Multi-agent systems for coding suffer context loss and 'telephone game' handoff failures. Well-designed single-agent systems with strong context management beat the parallel-subagent fashion.","Counterweight to Anthropic's multi-agent essay; essential balance."
"Why Grep Beat Embeddings in Our SWE-Bench Agent","https://jxnl.co/writing/2025/09/11/why-grep-beat-embeddings-in-our-swe-bench-agent-lessons-from-augment/","Jason Liu w/ Colin Flaherty","2025-09","adjacent-coding-or-computer-use","A","Augment topped SWE-Bench by discovering plain grep outperformed sophisticated embedding retrieval — persistent agents compensate for simple search.","Empirical correction to the 'embeddings everywhere' instinct."
"Pricing AI Agents: Headcount and the Economic Reality","https://jxnl.co/writing/2025/05/20/pricing-ai-agents-headcount-and-the-economic-reality/","Jason Liu","2025-05","production-deployment","B","Argues pricing agents against equivalent headcount value rather than per-seat or per-token, with concrete frameworks.","Niche but excellent on monetization."
"There Are Only 6 RAG Evals","https://jxnl.co/writing/2025/05/19/there-are-only-6-rag-evals/","Jason Liu","2025-05","production-deployment","B","Reduces RAG/agent evaluation to six metrics that actually predict product quality.","Sharp prioritization heuristic for RAG-heavy agent evals."
"Systematically Improving Your RAG","https://jxnl.co/writing/2024/05/22/systematically-improving-your-rag/","Jason Liu","2024-05","foundational-concepts","A","Methodology for iterating on RAG: synthetic baselines, metadata, hybrid search, user feedback loops, monitoring.","Foundational RAG hygiene that carries over directly to agentic retrieval."
"Components of a Coding Agent","https://magazine.sebastianraschka.com/p/components-of-a-coding-agent","Sebastian Raschka","2026-04","harness/loops","A","Breaks down how modern coding agents combine an LLM with repo context, prompt caching, structured tools, memory management, and bounded subagents.","Best architecture-level explainer for coding agents."
"Categories of Inference-Time Scaling for Improved LLM Reasoning","https://magazine.sebastianraschka.com/p/categories-of-inference-time-scaling","Sebastian Raschka","2026-01","foundational-concepts","A","Categorizes inference-time scaling techniques that allocate extra compute at deployment. Includes Raschka's own reasoning-model experiment going from 15% to 52% accuracy.","Maps the reasoning/thinking-model design space."
"A Practical Guide to Implementing DeepSearch/DeepResearch","https://jina.ai/news/a-practical-guide-to-implementing-deepsearch-deepresearch/","Han Xiao (Jina)","2025-02","harness/loops","A","Iterative search-read-reason loop, memory management, query rewriting, URL ranking, 'budget-forcing'/'beast mode' for finishing under token limits. Surprise: embeddings mainly useful for dedup, not retrieval; no framework needed.","The most concrete DeepResearch-style agent build-log available."
"Stevens: a hackable AI assistant with one SQLite table and cron jobs","https://www.geoffreylitt.com/2025/04/12/how-i-made-a-useful-ai-assistant-with-one-sqlite-table-and-a-handful-of-cron-jobs","Geoffrey Litt","2025-04","harness/loops","A","Personal AI assistant on one SQLite memory table + cron jobs ingesting Calendar/weather/email, delivering briefs via Telegram. Proof useful agents don't require frameworks.","The minimalist agent architecture everyone should read before reaching for LangGraph."
"Enough AI Copilots! We Need AI HUDs","https://www.geoffreylitt.com/2025/07/27/enough-ai-copilots-we-need-ai-huds","Geoffrey Litt","2025-07","foundational-concepts","A","Argues against the 'copilot' metaphor and proposes AI as a head-up display that augments human perception rather than acts as a delegate.","Best non-chat agent-UX essay of the era."
"Sholto Douglas & Trenton Bricken: Is RL + LLMs Enough for AGI?","https://www.dwarkesh.com/p/sholto-trenton-2","Dwarkesh Patel w/ Sholto Douglas & Trenton Bricken","2025-05","foundational-concepts","A","Sholto and Trenton argue RL on verifiable rewards has finally worked for LLMs, predict serious computer-use agents within ~12 months, and discuss inference compute as the AGI bottleneck.","Best single conversation on the frontier-scaling/agents intersection."
"o1 isn't a chat model (and that's the point)","https://www.latent.space/p/o1-skill-issue","Ben Hylak (Latent Space)","2025-01","foundational-concepts","B","Reasoning models like o1 want a full briefing upfront and produce a report, not a chat thread — fundamentally different operator skill.","Skill-issue insight that changed prompting norms."
"Why MCP Won","https://www.latent.space/p/why-mcp-won","Swyx / Latent Space","2025-03","production-deployment","B","Seven-factor analysis of MCP's rise: AI-native LSP descendant, Anthropic credibility, simplicity, strong first-party examples.","Good context if you're choosing standards; less critical for builders."
"Context Engineering for AI Agents: Lessons from Building Manus","https://manus.im/blog/Context-Engineering-for-AI-Agents-Lessons-from-Building-Manus","Manus (Yichao Ji)","2025-07","foundational-concepts","S","Six battle-tested principles from production: KV-cache stability, masking-not-removal for tools, filesystem as memory, attention recitation, preserving errors, avoiding few-shot ruts.","The best companion piece to Anthropic's context engineering post."
"Context Rot: How Increasing Input Tokens Impacts LLM Performance","https://www.trychroma.com/research/context-rot","Chroma Research","2025-07","foundational-concepts","S","Tests 18 LLMs and shows performance degrades non-uniformly with input length, especially under semantic matching and topical distractors.","Empirical case for context engineering — long context is not free."
"Context Engineering for Agents (LangChain)","https://www.langchain.com/blog/context-engineering-for-agents","LangChain (Lance Martin)","2025-07","foundational-concepts","A","Maps context engineering into four operations: write, select, compress, isolate.","Clean taxonomy that complements the Anthropic and Manus posts; framework-agnostic."
"RAG is not Agent Memory","https://www.letta.com/blog/rag-vs-agent-memory","Letta","2025-02","foundational-concepts","A","Argues classic single-shot RAG is reactive and stateless; agent memory needs multi-step retrieval with persisted state.","Useful frame for deciding RAG vs memory vs tool-call in an agent loop."
"Agent Memory: How to Build Agents that Learn and Remember","https://www.letta.com/blog/agent-memory","Letta","2025-07","foundational-concepts","S","Four memory tiers — message buffer, core memory blocks, recall memory, archival memory — explained via MemGPT/OS-style hierarchy.","Best single explainer of agent memory architecture."
"Memory Blocks: The Key to Agentic Context Management","https://www.letta.com/blog/memory-blocks","Letta","2025-05","foundational-concepts","A","Detailed treatment of memory blocks as labeled, size-bounded, editable context units. Bridges 'store stuff' and 'make it usable in context.'","Practical primitive detail."
"Memory for Agents","https://www.langchain.com/blog/memory-for-agents","LangChain (Harrison Chase)","2024-10","foundational-concepts","A","Maps memory to human cognition (procedural, semantic, episodic) and contrasts hot-path vs background memory updates with their latency tradeoffs.","Useful complementary framing alongside Letta's posts."
"Benchmarked OpenAI Memory vs LangMem vs MemGPT vs Mem0","https://mem0.ai/blog/benchmarked-openai-memory-vs-langmem-vs-memgpt-vs-mem0-for-long-term-memory-here-s-how-they-stacked-up","Mem0","2025-04","foundational-concepts","B","Comparative benchmarks (LoCoMo, LongMemEval, BEAM) on accuracy, latency, token cost across four memory systems.","Vendor post — read critically — but the only public head-to-head numbers."
"What We Learned From A Year of Building with LLMs","https://applied-llms.org/","Yan/Bischof/Carrigan/Husain/Shankar/Pinto","2024-06","foundational-concepts","S","Six-author cross-cut on tactical (prompting/RAG/evals), operational (data/model/team), and strategic lessons. 'The model isn't the product, the system around it is.'","The operating philosophy underneath most other posts here."
